Date,Title,Keywords,Abstract
2017,彩色喷墨印刷技术的发展与应用--《印刷质量与标准化》,喷墨印刷机;数字印刷技术;按需喷墨;连续式喷墨;喷墨印刷设备;承印物;,"本文以数字印刷技术的发展为背景,对喷墨印刷技术的发展及特点,数字印刷技术的应用,进行了新的总结和概况。随着计算机技术和网络技术的发展及其在印刷领域的不断应用,数字印刷技术经历了从静电成像技术、电子油墨技术发展到目前较为火热的喷墨印刷技术和纳米墨水技术的发展;数字印刷"
2017,喷墨数字印刷技术的发展和市场定位--《中国印刷》,数字印刷机 喷墨印刷机 数字印刷技术 数字印刷设备 喷头 喷墨技术 按需喷墨 承印物 墨滴 印刷品,"在drupa2016展会上,喷墨印刷机备受瞩目,数字印刷设备厂商、传统印刷机厂商都展出了他们最新研制的喷墨数字印刷机。在drupa2016展会上,喷墨印刷机备受瞩目,大有引领数字印刷发展之势。不仅传统数字印刷设备厂商展出了最新的喷墨数字印刷机,而且传统印刷机厂商也展出了他们最新研制的喷墨数字印刷机。一、喷头技术的发展喷墨技术的发展首先得益于喷头技术的改进"
2017,瓦楞包装喷墨印刷技术--《印刷杂志》,喷墨印刷 包装印刷 瓦楞纸印刷 连续喷墨 按需喷墨 墨滴 打印头 打印平台,"过去包装印刷市场一直是传统印刷的天下,但是以标签产品最先采用数字印刷方式为起始,到如今瓦楞纸箱、软包装、折叠纸盒等印刷品都可以使用数字印刷设备完成。同时,印刷产品平均印数不断下降、交付周期缩"
2017,服装数码打印机选型及应用--《浙江纺织服装职业技术学院学报》,服装数码打印机 服装生产 时尚 个性化定制,"服装数码打印机是小批量快时尚的重要装备。介绍了近年来国内外市场上服装数码打印机的分类与各大打印机的技术参数,及服装数码打印机的应用领域;并详细介绍了服装数码打印机的投资回报率,供广大服装数码打印爱好者参考。"
2017,印刷过程建模研究与分析--《印刷质量与标准化》,过程建模;透印;过程分析;墨滴;过程性能;建立模型;数学模型;过程模型;承印物;按需喷墨;,"印刷过程建模是指根据对印刷过程分析及相关基础数据,建立描述印刷过程性能的数学模型。对于复杂的印刷过程而言,建立模型是十分有效的研究方法。"
2014,新品介绍--《数码印刷》,多功能一体机;高速扫描仪;子墨;TIFF;按需喷墨;纹理结构;瓷砖生产;克/平方米;印墨;数码印刷机;,"佳能推出image PROGRAF i PF785大幅面打印和扫描解决方案近日,佳能推出image PROGRAF i PF785大幅面打印和扫描解决方案。该设备最高分辨率为2400dpi×1200dpi,提供320GB硬盘,5种颜色。子墨罐系统允许用户在墨水耗尽之前替换墨盒,而无需停止打印机。i PF785多功能一体机M40可扫描长达315英寸的PDF或JPEG文档,以及590英寸的TIFF文件。M40高速扫描仪具有1200dpi的最高分辨率,可扫描文档最大厚度为2毫米。该设备主要针对CAD/GIS和海报市场。"
2014,数字喷码技术在个性化包装上的应用--《印刷杂志》,包装印刷 喷码技术 药监码 二维码,"背景国内喷码形式的个性化包装,一个里程碑式的开端是2007年12月4日国家质检总局发布了《关于贯彻国务院关于加强食品等产品安全监督管理的特别规定实施产品质量电子监管的通知》(国质检质联〔2007〕582号)。通知要求,在2008年6月底前对9大类69种重点产品全面实施电子监管,所有产品加贴电子监管码才能上市。电子监管码与商品条码有着本"
2014,喷墨技术分类及应用--《印刷杂志》,数字印刷 喷墨技术 数据驱动 Stream技术,"喷墨印刷是一种新的无接触、无压力、无印版的印刷技术,将图像信息光栅化后输入喷墨打印机即可实现打印。按喷墨介质可以分为固体喷墨和液体喷墨两种。固体喷墨主要为染料热升华,成本较高;液体喷墨中的热发泡式和压电式,是办公打印产品的主流技术。液体喷墨打印的Stream技术可实现胶印级的品质、产能和成本,广泛运用于工业喷墨印刷,至今全"
2014,生产型喷墨系统持续发展--《数码印刷》,数字印刷 生产型 喷墨印刷机 解决方案 喷墨打印头 专业文章 彩色喷墨印刷 可变数据印刷 印刷业 工作流程,"生产型喷墨系统在未来印刷业中将是一股强劲的力量。长期以来,数字印刷平台展现了许多优势,如更符合成本效益的短版印刷、可变数据印刷等。在过去几年中,伴随着大量新玩家的涌入,高速喷墨解决方案逐渐成为人们关注的焦点。除了新型和改进型产品的竞争力得到提升外,介质、印后加工以及工作流程提供商的发展也推动了该项技术的发展和应用。"
2014,浅析数字印刷相关技术和材料--《广东印刷》,数字印刷机 传统印刷 电子油墨 印刷方式 可变数据印刷 纸张 承印物 个性化印刷 印刷技术 图文信息,"数字印刷是使用数字文件控制相应设备,将呈色剂/色料(如油墨)直接转移到承印物上的复制过程。即是由数字方法获取的图文信息经计算机处理后的电子文件直接成像于橡皮布、版材或纸张,而无须输出菲林和人工拼晒版的有别于传统印刷的全新印刷方式。从技术上看,数字印刷特点是印刷制版时间短,可以更经济的印刷短版业务,可以做到""一张起印""。"
2014,印刷电子——印刷界的朝阳产业--《印刷质量与标准化》,凹版印刷 电子技术 喷墨打印 有机半导体材料 电子材料 电子设备 相结合 电子产品 印刷技术 金属纳米粒子,"印刷电子技术,顾名思义,是基于印刷原理的电子技术。更具体一些,是利用现代技术中的光、电及电化学与现代印刷技术相结合,通过高导电的金属纳米粒子制成导电墨水,半导体油墨和绝缘油墨,将电子电路的信息打印、复印、转印或喷墨打印到纸张或塑料薄膜等基材上,形成的具有一定功能的无源原件、有源器件及导线,实现全印制电路。"
2013,高速工业喷墨印刷机  2013高歌猛进--《数码印刷》,,"第一台卷筒纸喷墨印刷机发明于上世纪70年代,早期的印刷设备相对简陋,尤其是和现代高速生产型设备相比。下面通过惠普、Pitney Bowes、奥西、理光/InfoPrint、网屏、柯达和施乐等主要供应商的最新产品和技术发展分析现代高速工业喷墨印刷机的未来走势。进入2013年,喷墨印刷意味着高速、可与胶印相媲美的印刷质量、更多纸张选择和更大印刷规格。此外,喷墨印刷机还具备生产效率优势。和胶印机不同,喷墨印刷机几乎不需要印前准备,支持个性化印刷。工业喷墨印刷机现在面向的大批量生产领域有:书刊出版、直"
2013,绿色印刷包装产业专利文献分析--《北京印刷学院学报》,绿色印刷包装 专利 按需喷墨 印后,"为了及时了解国际上绿色印刷包装产业技术最新研究进展和发展态势,选取了绿色印刷包装产业4个主要领域——印刷电子、油墨、按需喷墨、印后,进行了德温特专利数据库的主题检索和分析,对国内外关于绿色印刷包装产业的技术研发和知识产权进展态势进行了梳理和总结。结果表明,中国在绿色印刷包装业技术研发领域势头较好,后劲较大。"
2014,新型压电式喷墨头的数值仿真与结构优化--《大连理工大学》,压电驱动 喷墨头 数值模拟 COMSOL 按需喷墨,压电驱动式喷墨打印机是基于逆压电效应工作的由于其响应速度快非接触性高分辨率等优点得到了广泛的应用目前市场上使用的喷墨打印机核心部件喷墨头主要由国外垄断和生产国内巨大的市场需求促使了大批学者对喷墨打印头的研究基于喷墨打印机目前的这种发展情况本文特别提出了一种新型的压电驱动式喷墨打印头结构在对新型结构的实验研究和优化分析过程中由于实验制作研究存在成本高时间长受仪器设备局限性大等诸多缺点为了节约成本提高效率本文利用数值模拟优化方法使用计算机软件COMSOL设计优化结构尺寸参数根据模拟优化结果指导实验研究首先本文通过分析压电式喷墨打印机的工作原理综合考虑实验室设备及能够实现的MEMS工艺设计了一种新型的压电式喷墨打印头相比目前市场上应用的喷墨头该结构具有简单易制作一体化程度高成本低易实现批量化生产等优点其次本文基于有限元方法通过COMSOL模拟软件分析了影响该结构喷墨情况的主要因素其中包括压电陶瓷层参数电压控制波形腔室尺寸喷孔尺寸限流部等等在分析了各个因素对于墨滴喷射情况的影响后选取了最合适的结构参数最终确定了该结构实验制作的参数用模拟分析的方法为实验制作提供参考降低实验成本缩短研究时间最后本文通过对实验制作的新型压电式喷墨头进行了多普勒振动测试验证了模拟分析的正确性和该结构设计的合理性同时测试也使我们发现了结构存在的问题为后续的研究和设计提供了帮助
2009,喷墨打印技术进展--《中国印刷与包装研究》,喷墨打印 压电式 热发泡式 按需喷墨 激发器 微机电系统 电压波形控制,"通过文献调研并结合实践,本文系统介绍了按需喷墨打印技术发展情况,较详细阐述了压电式和热发泡式激发器的技术原理、技术特点、结构、分类和技术更新情况,以及墨水、介质的相应发展情况。新型喷墨头技术朝着喷嘴更小、排列更紧密、喷出墨滴更小且能实现可变墨滴的趋势发展;借助微机电和半导体技术的发展,制造工艺更加集成化。在新型墨水和介质的配合下,喷墨打印在照片冲印输出、商务办公和短版印刷领域获得成功应用。"
2008,喷墨印刷技术原理与发展综述--《印刷质量与标准化》,喷墨技术 数字印刷 喷墨印刷 技术原理 承印物 按需印刷 可变数据印刷 喷墨打印纸 墨滴 基本原理,"近年来,随着数字印刷技术发展的日新月异,传统印刷市场受到极大冲击。数字印刷目前的市场定位主要是短版印刷和可变数据印刷。通俗地讲,数字印刷即按需印刷,是能按照用户的"
2007,国内外喷墨印刷发展趋势--《今日印刷》,喷墨印刷,"凸印、平印、凹印、柔印在印刷行业被称为四大传统印刷工艺,属于有版有压印刷,而喷墨印刷属于无版无压新兴特种印刷工艺。喷墨印刷最近几年发展迅速,与其他四种有版有压印刷工艺相比,喷墨印刷确实具备按需印刷等特点,在很多方面都拥有竞争优势。"
2009,喷墨导电墨水技术的现状与发展--《数码印刷》,喷墨墨水 导电层 电子材料 纳米银 薄膜印刷 微粒 发展与进步 线路板 微电子技术 现状与发展,"印刷电子材料的发展促进了与其相关的专用工业的形成、发展与进步。而微电子技术的发展对印刷电子材料的生产提出了更高的要求,进一步向高密、细导线、多层、高可靠性、低成本、短周期和自动化连续生"
2008,连续喷墨VS按需喷墨--《网印工业》,喷墨技术 喷墨印刷 连续喷墨 墨滴 按需喷墨 承印物 喷墨头 喷嘴 墨水 分析对比,"按喷墨系统中墨水喷射的基本方式(即墨水喷射是否连续),可以将喷墨技术分为连续喷墨印刷和按需喷墨印刷两类。本文从这一角度对连续喷墨印刷和按需喷墨印刷进行了详细解析,并进行了分析对比。"
2003,喷墨打印机及其耗材技术现状与进展--《影像技术》,喷墨打印 喷墨打印介质 墨水 连续喷墨 按需喷墨,"喷墨打印是一种快速发展的高新信息技术,在非接触性打印领域占有重要地位。喷墨打印机用墨水和介质,也随打印机技术的改进不断更新换代。本文综述了喷墨打印器件、打印介质、打印墨水发展的基本情况,着重探讨了喷墨打印技术新用途的广阔前景,介绍了喷墨打印技术的发展趋势。"
2008,纳米尺度液滴的静电喷射实验--《功能材料与器件学报》,按需喷墨 静电打印,"介绍了一种基于高压静电打印技术的工作原理。静电打印头结构是由喷孔结构和电极结构复合而成。施加2.5~3.5kV的脉冲电压驱动液滴产生,所得的液滴直径比传统静电喷射方法更小的液滴,直径为1991~201.6nm。同时,考察在2.8kV,3.0kV,3.2kV和3.4kV四种脉冲电压条件下幅值下幅值大小对液滴大小的影响情况,实验结果表明随着脉冲幅值的增大液滴逐渐减小结论。"
2008,数字印刷技术及其应用--《中国教育技术装备》,数字印刷机 静电成像 连续喷墨 按需喷墨 印刷技术 数字字 承印物 传统印刷 激光扫描 按需印刷,"主要介绍数字印刷的概念及其特点,并分析数字印刷的关键技术和在工业界的应用。"
2009,宽幅打印机按需喷墨打印头的墨滴运动--《中国印刷与包装研究》,喷墨印刷 DOD LDV 墨滴 卫星式墨滴,"本文主要研究宽幅打印机中墨滴的流动状况。按需式压电打印头的油墨喷射多采用光学技术进行测量,根据激光多普勒速度测量仪测得的速度和图像可视化系统获得的图像数据,对打印头的性能进行全面了解。在模拟操作条件的情况下观察压电式打印头的工作状况,从而确定印刷密度的最优参数。结果表明印品质量不精确的主要原因是由卫星式液滴造成的。对压电推拉式(thePiezoelectricPush-mode)按需喷墨印刷头进行计算机仿真,主要进行墨滴喷射和墨滴向印刷介质转移过程的仿真。仿真结果与实验结果基本一致,表明施加在压电晶体上的电压脉冲与最终压力之间存在联系。"
2013,当前我国常用喷墨打印机机制文件特点研究--《华东政法大学》,喷墨打印机 喷墨打印机机制文件特点 喷墨打印机机制文件检验,随着计算机的普及和办公电子化的发展各种计算机输出设备普遍出现在社会生活中其中喷墨打印机作为制作日常文件的常用办公机具是计算机输出设备的重要组成部分随着我国社会经济的不断繁荣和法制的健全越来越多的社会活动中都会使用到包含喷墨打印机在内的各种机具来制作如合同借条证明书等日常的文件这些文件也是我国诉讼活动中常见文件因而成为司法鉴定文书研究的重要对象之一针对喷墨打印机机制文件的各种特点进行研究对司法鉴定实践中的文件同一性认定同机认定篡改伪造文件检验都有很大的促进作用为鉴定文件提供有力的支持为司法公平和正义的实现提供有力的促进作用本文对喷墨打印机机制文件的特点研究主要从以下几个方面来阐述本文第一章介绍了喷墨印刷文件的历史和趋势主要来阐明喷墨打印印刷技术有哪些他们的产生和发展过程让读者对喷墨印刷有个全面的了解第二章主要介绍了按需喷墨打印机工作的原理和喷墨打印机机具的构成主要来阐明爱普生佳能惠普三大公司的技术特点第三章主要介绍了当前我国常用喷墨打印机的主要品牌和型号以及为了研究喷墨打印机所设计的样本情况对样本的收集情况和对样本使用显微镜文件检验仪器等设备进行的分析情况以使读者对我国常见喷墨打印机的使用情况有所了解展开喷墨打印机文件特点的研究途径作以介绍第四章主要介绍了对样本的研究形成的喷墨打印机机制文件特点介绍了当前喷墨打印机机制文件的印刷的一般特点主要从墨迹分布形态喷嘴的尺寸分辨率等因素在喷墨印刷文件过程中的特点并且讨论了利用特点的特殊性在喷墨机制文件种属鉴定和同种鉴定中的应用第五章主要介绍了在利用喷墨打印机机制文件鉴定文件中的需要注意的一些问题以及介绍了一例利用喷墨打印机特点鉴定案件的情况
2013,基于FPGA的喷墨印刷系统高速数据接口的设计与实现--《北京印刷学院》,喷墨印刷系统 FPGA 数据通路 小波变换 高速数据接口,喷墨印刷是数字印刷系统的重要组成部分以其适应性广高速智能低污染等特点在印刷各领域得到广泛的应用喷墨印刷在印刷幅面油墨和承印介质的多样化上拓展了传统印刷的内涵随着喷墨印刷技术的不断发展市场上出现了很多喷墨设备不仅国外的许多产品进入我国市场国内许多企业也在积极开发自己的喷墨系统喷墨印刷的喷头控制系统对印刷质量有着重要的影响不仅对图像的清晰度纵向横向的一致性等方面有着重要的影响对于喷印速度也起到决定性的作用而喷墨印刷系统中数据传输速度的高低则直接影响着喷头控制系统性能的优劣论文首先介绍了喷墨印刷系统硬件设计包括喷墨头的选型接口电路的设计等然后运用小波变换和4B5B编码技术设计和实现了喷墨印刷系统软件功能模块最后重点介绍了基于FPGA的喷墨印刷系统高速数据接口的设计和实现研究并设计了喷墨印刷系统的高速数据接口论文选用XAAR公司的按需式喷头XAAR1001作为设计系统的喷墨头以Altera公司的CycloneIII系列的EP3C5E144C8作为控制芯片设计了高速数据接口给出了喷印效果最后对四倍频鉴相模块和4B5B数据传输模块进行了仿真
2009,喷墨印刷技术面面观--《数码印刷》,印刷技术 喷墨油墨 喷墨印刷机 按需喷墨 喷墨技术 印刷工业 承印物 喷墨打印机 专业文章 墨滴,"十几年前,当互联网技术刚刚兴起时,不少业内人士就为数字媒体是否会取代纸质媒体争论不休,甚至有人预言,数字出版将成为印刷技术的""终结者""。然而时至今日,印刷工业仍凭借其强大的生命力在迅速向前"
2012,大粘度压电微喷系统的研究--《压电与声光》,大粘度 压电微喷 驱动波形,"面向航天器内运动部件润滑失效问题,研究设计了一种大粘度压电微喷系统。提出了环形收缩管式微喷头的加工方法,并构建了整个装置试验样机。以50%和95%高粘度的甘油水溶液为实验研究对象,对形成稳定喷射时所需的信号频率、电压、保持时间及液面高度进行了研究。研究结果表明,随着液面高度的增加最佳驱动频率减小,随着喷射溶液粘度的增大喷射所需电压增大;在保证最优保持时间的条件下,液面高度越小所需喷射电压越小,随着喷射溶液粘度的增大,能形成稳定喷射的频率带逐渐变窄。"
2011,喷墨印花的现状与发展趋势--《丝网印刷》,喷墨印花机 纺织品 数码印花 数码喷墨印花 现状与发展趋势 墨水 丝网印刷 数字化技术 染料 印前处理,"对于关注印花的人们来说,喷墨印花已经不是新鲜的名词了。自其产生以来,喷墨印花相对于传统印花的强劲优势使得业界越来越关注喷墨印花的发展动态。本文针对数码喷墨印花的现状和发展趋势进行了简要的总结。"
2006,嵌入式喷印系统的设计和实现--《湖南大学》,嵌入式系统 按需喷墨 喷墨喷头 DPI,随着条码标识技术的迅速发展和广泛应用人们对条码标识印制的质量速度效益的要求也日益提高比如对小批量多批次信息内容需要经常变化的条的印制如果用制胶片印刷的方式则成本相对较高不经济如果用条码打印机打印条码标签然后再粘贴的方式则速度慢且烦锁喷码技术以其非接触特性丰富的标注功能以及可靠的喷印质量得到了广泛的应用本文研究和设计了用于工业包装行业的按需喷印系统论文调查了喷印技术的现状分析了当前市场上的喷印技术以及各种不同喷印技术之间的优势和劣势并预测了喷印技术的发展趋势通过喷印技术在国内和国际市场上的发展比较以及国内市场现状的分析发现国内目前的喷印技术水平落后在按需喷印技术上严重依赖国外品牌因此在掌握喷印的基本工作原理和XJ128喷头特性的基础上给出了一种按需喷印系统的设计方案并分析了提高喷印图像DPI的方法根据工业包装行业对喷印系统的基本性能需求给出了喷印系统具体的设计详细说明了各模块硬件设计思路和软件设计方法给出设备界面的结构和部分程序流程图最后对设备样机功能进行了测试本课题研究并实现了适用于工业包装生产流水线上的喷印系统测试结果表明系统运行稳定基本实现了所设计的功能
2009,按需喷墨印刷用油墨的性能研究--《中国印刷与包装研究》,喷墨印刷 有机场效应晶体管 油墨 流变特性 按需 运行情况 聚合材料 墨滴 电子元件 压电激励器,"本文主要对压电驱动DOD微型供墨系统中的基于聚乙烯(3,4-乙烯二氧噻吩)/聚苯乙烯磺酸盐(PEDOT/PSS)等不同聚合材料油墨进行详细研究。根据油墨的流变特性和印刷系统的机械特性得到特性值,通过特性值可以预测给定印刷系统中聚合油墨的运行情况。除印刷适性外,还研究了不同油墨对有机场效应晶体管的电子特性的影响。"
2012,凤凰传媒按需喷墨联机生产线正式投入生产--《印刷世界》,生产线 传媒集团 喷墨印刷机 按需喷墨 连续喷墨 凤凰 按需印刷 出版印刷 转型升级 柯达,"全国首套柯达Prosper1000高速喷墨印刷机落户凤凰近日,凤凰传媒集团的按需出版生产线全面投入运营。该生产线整合了柯达Prosper1000高速喷墨印刷机、瑞士Hunkeler书芯成型设备,以及日本horizon、深圳精密达的后道连线设备,是亚洲第一条全连线连续喷墨POD系统。凭借该生产线,凤凰"
2008,按需喷墨印刷将成为德鲁巴2008一大亮点--《今日印刷》,彩色喷墨印刷 德鲁巴 按需喷墨 喷墨技术 印刷质量 技术整合 印刷速度 新产品 连续喷墨 数字印刷系统,"近年来,喷墨印刷正在向着几乎所有的印刷领域进军,其印刷质量也越来越好。从德鲁62004可以看出,喷墨印刷已跻身于技术亮点之列,并将成为德鲁巴2008的主题。在2008年5月即将到来的德鲁巴印刷展上,代表最新技术发展的将是按需喷墨印刷。最新的证明就是关于在比利时布鲁塞尔标签展上所展示新产品的报道。如果想在生产厂家推出新产品之前,就了解新机器能给我们带"
2016,胶印环境友好型油墨——大豆油墨--《资源节约与环保》,大豆油墨 可再生 应用现状,"大豆油墨作为新型环保油墨,在发达国家已有广泛的应用,本文主要从石油危机、环境保护的角度分析了大豆油墨产生的原因,从环保性、脱墨性、气味、可再生等四个方面分析了相对于传统油墨大豆油墨的优势,最后给出了大豆油墨在欧美、日本、中国等不同国家的应用现状,旨在推动其在中国的应用。"
2005,大豆油墨的研究概况--《大豆通报》,大豆油墨 环保 印刷油墨,"本文简要地介绍了大豆油墨的研发历史、功能特性及应用现状 ,大豆油墨的研发是油脂行业对环保的一份贡献。"
2011,绿色印刷之大豆油墨--《印刷杂志》,大豆油墨 VOC 环保性 印刷适性 应用现状 前景,"中国印刷及设备器材工业协会统计,2009年我国印刷工业总产值为5150亿元,较上年度增长8.4%。预计2015年我国印刷工业总产值将达到9800亿,也"
2018,大豆油墨印刷成为绿色印刷主流--《环境经济》,大豆油墨;绿色印刷;油墨印刷;,"作为印刷环节中重要的使用耗材,油墨直接影响到印刷企业能否实现绿色印刷和节能环保。油墨的生产制造过程需要使用大量的有机溶剂,印刷过程中会挥发到空气中,不但会危害工人的身体健康,也会对空气质量造成较大影响,而且印刷品上的残留溶剂,也会对消费者、读者的身体健康造成一定的影响。""在我国印刷行业全面推广使用环保型印刷油墨就显得非常迫切。""全国人大代表、广东天龙油墨集团股份有限公司董事长冯毅说,目前,大豆"
2007,大豆油墨:未来环保油墨的主角--《中国包装》,大豆油 普通油墨 植物油脂 油基油墨 印刷油墨 环保型 胶印油墨 彩色印刷 环保性 应用范围,"植物油墨即植物油基油墨,它使用植物油脂作为连接料,目前研发和应用的连接料主要有碱炼大豆油、菜籽油、棉籽油、葵花籽油、红花籽油和CanoIa油等,其中最常用的是大豆油墨(Soy ink或称Vegetable ink)。大豆油墨是由食用黄豆油(或者其它干性或半干性植物油脂)与颜料、树脂、腊质等混合而成的。大豆油墨将是未来环保油墨的最佳选择之一,其发展前景非"
2016,大豆油墨面面观--《印刷技术》,大豆油墨;印刷油墨;胶印油墨;溶剂型油墨;印品;美国报业协会;单张纸;连结料;植物油脂;脱墨;,"近年来,环保与健康已成为全球瞩目的问题。由于报纸、杂志等印刷品和生活息息相关,使得印刷油墨的环保问题倍受关注,环保型大豆油墨的研究和应用也越来越多地得到人们的重视。大豆油墨是指将大豆油轻度提纯后,与色素,填料和树脂等添加剂混合得到的一种胶印油墨,其替代传统石油,减少了化石原料有机物质的挥发,减轻了对环境的污染,符合"
2015,大豆油墨的油墨转移率研究分析--《印刷技术》,大豆油墨;油墨转移;胶印油墨;墨层厚度;印刷适性仪;确保操作;石油资源;光泽度;印刷压力;印刷品质量;,"大豆油属于可食用油,分解后可完全融入自然环境。在各种配方的植物油油墨中,大豆油墨是真正意义上的可应用的环保型油墨。大豆油墨不污染空气,减少了对日益匮乏的石油资源的依赖,是生物可降解的油墨产品,能确保操作人员和消费者的健康。目前,大豆油墨的普及推广很快,在欧洲、日本、韩国等国家和地区先后得到广泛应用,很多对环保要求较高的产品也趋向于使用大豆油墨进行印刷。而大豆油墨在我国的应"
2010,低碳经济下大豆油墨的现状及发展--《印刷质量与标准化》,大豆油 油基油墨 环保型 印刷适性 低碳 环保特性 植物油 脂肪酸 印刷行业 经济的,"低碳经济是当今时代的热点话题,使用环保型的油墨,杜绝VOC的排放以缓解各种环保问题也是当前各国亟待解决的环保课题。本文主要介绍了大豆油墨的发展及应用情况,通过了解其发展历史、性能特点,分析其印刷适性,进一步拓宽了对大豆油墨的认识,并对其在国内的推广提出了一些可供参考的建议。"
2007,前景看好的大豆油墨--《印刷世界》,大豆油 印刷油墨 印刷品 印刷生产过程 环保性 生产流程 污染来源 有害物质 安全问题 不利因素,"我们的生活离不开五光十色的各类印刷品,随着生活水平的不断提高,人们对印刷品的环保性以及对人体无危害性的要求日趋严格。国际上对印刷品中含有的有害物质均有限制,印刷制品安全问题可能成为阻碍我国出口发展的不利因素之一。而从印刷品的生产流程来看,油墨是在整个印刷生产过程中最主要的污染来源。"
2006,选择大豆油墨  不得不说的理由--《中国印刷物资商情》,大豆油 油墨 印刷适性 应用现状 环保型 环保效果 再生纸 石油价格 印刷适应性 特点,"大豆油墨并非因为采用了大豆油就贴上了绿色的标签,而是根据油墨各个组分综合考虑,从而实现整体上的环保效果。"
2018,大豆油墨渐成主流  全球印刷业迈进绿色时代--《环境与生活》,大豆油墨 绿色印刷 绿色发展 绿色时代 股份有限公司 主流 天龙 印刷产品 印刷品 建议书,"在今年全国两会上,新当选的全国人大代表、广东天龙油墨集团股份有限公司董事长冯毅,带来了一份有关在印刷行业推广使用环保型印刷材料,推动行业绿色发展的建议书,显示出我国印刷行业对绿色印刷理念的关注。事实上,自上世纪80年代以来,绿色印刷已逐渐成为全球印刷业发展的主流,我国如今也快速融入这一印刷业绿色发展的大潮中。"
2013,绿色印刷加速器——环保植物油墨--《网印工业》,大豆油 胶印油墨 植物油脂 环保植物 印刷企业 挥发性有机化合物 挥发性有机污染物 绿色环保型 绿色化 油基油墨,"近年来,随着绿色环保印刷的呼声日益高涨,各个印刷企业都在实施绿色环保措施。油墨作为印刷行业的主要耗材,其绿色环保受到人们的密切关注。尤其挥发性有机污染物(VOC)减排与控制技术创新联盟的成立对油墨的绿色技术提出更高的要求。而环保植物油墨(大豆油墨)作为环保油墨中的佼佼者它不仅绿色环保,还加速了我国印刷行业绿色化前进的步伐。"
2009,大豆油墨印刷适性问题的探讨--《今日印刷》,大豆油 油墨印刷适性 豆油基油墨 矿物油 印刷速度 连接料 干燥速度 普通油墨 干燥剂 绿色环保,"印刷业应如何减少挥发性有机溶剂的含量?如何让印刷成品在使用完后更容易自然降解?如何跟上国际环保标准并消除与其接轨的障碍?……在诸多亟待解决的课题的推动下,大豆油墨作为新型环保油墨日后必将成为主流。大豆油墨是指用自然环保的大豆油替换传统油墨石油系矿物油配方中的210%～50%,从而使油墨中的VOC含量由原来的30%～60%降低到5%～15%,而其他成分和普通油墨的主要成分大致相同,也分颜料、连结料、矿物油,助剂等。大豆油墨具有绿色环保性能良好、耐摩擦和耐热性好、脱墨再生性好、着墨性好、综"
2005,环保型大豆油墨的研制--《浙江大学》,大豆油 油墨 胶印 环保,在传统油墨中一般含有3060的石油系矿物油属有机溶剂含芳烃当印刷时油墨的干燥需要挥发这些矿物油会释放出大量有机溶剂造成严重的大气污染全球每年因油墨引起的有机挥发物VOCVollitileOrganicChemicals污染排放量已达几十万吨这些有机挥发物可以形成比二氧化碳更严重的温室效应而且在阳光的照射下会形成氧化物和光化学烟雾严重污染大气环境对于印刷工人由于长期处于高浓度的VOC中会对人体特别是神经系统造成极大损害因此如何减少油墨中VOC的含量成为各国治理环境的重中之重现在各国也都开始陆续制定严格的法令法规以限制有机溶剂的使用和排放大豆油墨是将传统油墨配方中2050的的矿物油替代为自然环保的大豆油从而使油墨中的VOC含量由原来的3060降低到515因此在环保呼声的推动下大豆油墨必将成为今后胶印印刷用油墨的主流尽管大豆油墨具有很好的环保前景但由于大豆油自身的特点给大豆油墨的开发带来一定的难度其主要的难点在于①大豆油墨的干燥性问题②调整大豆油墨墨性使其接近甚至超过传统油墨大豆油中只有9双键含量较多的亚麻酸而双键含量较少的硬脂酸油酸和亚油酸却占到了近80与其相比传统的亚麻油中亚麻酸含量在52以上亚油酸等双键较少的植物油酸只占了30左右因此大豆油由于含有的较少的可反应双键与空气中的氧气反应相对缓慢使制造出的大豆油墨出现干燥不良会给印刷带来如粘脏附着力差等许多问题也使油墨的可印刷性和印刷效率大大降低同时由于大豆油替代了传统油墨配方中的部分矿物油打破了传统油墨的墨性平衡使大豆油墨在流动性水墨平衡等方面都与传统油墨有一定的差距这就需要通过全新的油墨配方将其重新达到平衡使大豆油墨能在印刷中得到接近传统油墨甚至更好的表现对于油墨来说影响其干燥性的不只是植物油还有树脂矿物油连接料制造工艺等因素也会很大程度上影响油墨的干燥性所以尽管大豆油自身在干燥性方面存在不足但完全可以通过树脂的选择和调整连接料的配方改进连接料制造的工艺以及油墨配方的合理配比来克服大豆油的干燥性问题依据以上思路本文着重针对树脂的选择连接料配方和工艺的调整以及油墨配方的合配比展开研究工作
